"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.62,14.9,"[770, 307, 400], [798], [20]"
2,5.03,14.2,"[916], [798], [20]"
3,5.87,8.4,"[916], [798], [20]"
4,5.63,4.6,"[916], [798], [20]"
5,5.21,1.1,"[770, 307, 400], [798], [20]"
6,5.93,5.1,"[916], [798], [20]"
7,5.47,9.2,"[770, 307, 400], [798], [20]"
8,5.91,9.9,"[916], [798], [20]"
9,5.38,5.1,"[916], [798], [20]"
10,6.01,2.1,"[916], [798], [20]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.53,6.6,"[798], [20]"
2,3.98,5.2,"[798], [20]"
3,4.61,7.8,"[798], [20]"
4,5.02,9.2,"[798], [20]"
5,3.98,2.7,"[798], [20]"
6,4.03,6.2,"[798], [20]"
7,2.39,10.2,"[798], [20]"
8,3.31,3.9,"[798], [20]"
9,3.33,1.5,"[798], [20]"
10,3.41,6.1,"[798], [20]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,7.02,12.6,"[20], [798]"
2,6.75,6.7,"[798], [20] x 3"
3,5.99,7.2,"[798], [20] x 3"
4,7.31,4.2,"[20], [798]"
5,7.28,5.6,"[798], [20] x 2"
6,6.96,4.5,"[798], [20] x 3"
7,7.42,9.8,"[798], [20] x 2"
8,7.15,1.1,"[770, 307, 400], [798], [20]"
9,7.92,8.9,"[798], [20] x 3"
10,7.01,10.7,"[20], [798]"
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,4.98,N/A,[20] x 2
2,4.12,N/A,None
3,6.57,N/A,[20] x 2
4,7.54,N/A,None
5,4.66,N/A,[20] x 2
6,3.88,N/A,"[770, 307, 400], [20]"
7,2.85,N/A,None
8,8.17,N/A,None
9,6.03,N/A,[20] x 2
10,3.98,N/A,[20] x 2
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.02,5.3,[20] x 2
2,11.21,6.2,None
3,10.98,6.3,[20]
4,10.03,4.7,[20]
5,10.06,8.1,[20]
6,10.11,4.9,[20]
7,10.13,5.1,[20] x 2
8,10.17,5.2,"[798], [20]"
9,10.24,5.3,None
10,10.98,8.4,None
